top - 15:13:56 up  3:48,  2 users,  load average: 0.12, 0.04, 0.01
Tasks: 366 total,   1 running, 365 sleeping,   0 stopped,   0 zombie
Cpu(s):  0.9%us,  0.2%sy,  0.0%ni, 95.2%id,  3.6%wa,  0.0%hi,  0.0%si,  0.0%st
Mem:   1922372k total,  1844140k used,    78232k free,     8752k buffers
Swap:  1563644k total,   509996k used,  1053648k free,   162192k cached

  PID USER      PR  NI  VIRT  RES  SHR S %CPU %MEM    TIME+  COMMAND                                              
 2321 root      20   0 15164 1328  832 R  2.0  0.1   0:00.01 top                                                  
    1 root      20   0 19232  596  440 S  0.0  0.0   0:01.40 init                                                 
    2 root      20   0     0    0    0 S  0.0  0.0   0:00.00 kthreadd                                             
    3 root      RT   0     0    0    0 S  0.0  0.0   0:00.00 migration/0                                          
    4 root      20   0     0    0    0 S  0.0  0.0   0:00.01 ksoftirqd/0                                          
    5 root      RT   0     0    0    0 S  0.0  0.0   0:00.00 stopper/0                                            
    6 root      RT   0     0    0    0 S  0.0  0.0   0:29.56 watchdog/0                                           
    7 root      20   0     0    0    0 S  0.0  0.0   0:11.93 events/0                                             
    8 root      20   0     0    0    0 S  0.0  0.0   0:00.00 cgroup                                               
    9 root      20   0     0    0    0 S  0.0  0.0   0:00.00 khelper                                              
   10 root      20   0     0    0    0 S  0.0  0.0   0:00.00 netns                                                
   11 root      20   0     0    0    0 S  0.0  0.0   0:00.00 async/mgr                                            
   12 root      20   0     0    0    0 S  0.0  0.0   0:00.00 pm                                                   
   13 root      20   0     0    0    0 S  0.0  0.0   0:00.04 sync_supers                                          
   14 root      20   0     0    0    0 S  0.0  0.0   0:00.04 bdi-default                                          
   15 root      20   0     0    0    0 S  0.0  0.0   0:00.00 kintegrityd/0                                        
   16 root      20   0     0    0    0 S  0.0  0.0   0:15.30 kblockd/0                                            
   17 root      20   0     0    0    0 S  0.0  0.0   0:00.00 kacpid                                               
   18 root      20   0     0    0    0 S  0.0  0.0   0:00.00 kacpi_notify                                         
   19 root      20   0     0    0    0 S  0.0  0.0   0:00.00 kacpi_hotplug                                        
   20 root      20   0     0    0    0 S  0.0  0.0   0:00.00 ata_aux                                              
   21 root      20   0     0    0    0 S  0.0  0.0   0:00.00 ata_sff/0                                            
   22 root      20   0     0    0    0 S  0.0  0.0   0:00.00 ksuspend_usbd                                        
   23 root      20   0     0    0    0 S  0.0  0.0   0:00.00 khubd                                                
   24 root      20   0     0    0    0 S  0.0  0.0   0:00.00 kseriod                                              
